ibfa_001_0001saya suka baju yang berwarna merah tua                                                           
ibfa_001_0002boneka beruang di toko itu  lucu sekali                                                          
ibfa_001_0003sepatuku kotor  belum aku  cuci dari kemarin                                                     
ibfa_001_0004jalan itu ramai sekali  setiap pagi hari                                                         
ibfa_001_0005lusa  aku akan pergi ke rumah paman                                                              
ibfa_001_0006besok  saya pergi ke toko baju bersama ibu                                                       
ibfa_001_0007toko itu  buka mulai jam enam pagi                                                               
ibfa_001_0008ibu menyirami bunga di halaman setiap sore                                                       
ibfa_001_0009buanglah sampah di tempat yang telah disediakan                                                  
ibfa_001_0010masakan nenek  paling enak di rumah kami                                                         
ibfa_001_0011sekarang  ayah pergi ke kantor naik mobil dinas                                                  
ibfa_001_0012paman  yang memberiku  buku tulis dan tas baru                                                   
ibfa_001_0013sekolahnya di pinggir jalan raya yang sepi itu                                                   
ibfa_001_0014nomor teleponnya  tidak bisa dihubungi lagi sekarang                                             
ibfa_001_0015siang ini udaranya panas  tidak mendung lagi                                                     
ibfa_001_0016sekarang  di negara kita sedang musim hujan                                                      
ibfa_001_0017dia tidak masuk sekolah hari ini  karena sakit                                                   
ibfa_001_0018dia sakit malaria  sejak dua hari yang lalu                                                      
ibfa_001_0019biaya di rumah sakit internasional itu  mahal                                                    
ibfa_001_0020hari minggu  kami sekeluarga  akan pergi memancing                                               
ibfa_001_0021nelayan itu  menjual ikan tangkapannya  di pasar                                                 
ibfa_001_0022pasar itu ramai sekali  setiap hari libur                                                        
ibfa_001_0023liburan ini  keluargaku pergi berkemah  ke gunung                                                
ibfa_001_0024anak kecil itu rajin belajar  sehingga juara di kelas                                            
ibfa_001_0025aku mendapat kiriman kado ulang tahun  dari ibu                                                  
ibfa_001_0026bibi sedang mencuci baju  di kamar mandi                                                         
ibfa_001_0027seragam sekolahnya belum kering  dari kemarin dijemur                                            
ibfa_001_0028ayah membaca koran setiap pagi  sebelum berangkat kerja                                          
ibfa_001_0029ibu membuatkan susu buat adik  setiap pagi dan malam                                             
ibfa_001_0030malam itu  paman menonton televisi  di kamar                                                     
ibfa_001_0031kakak dan ayah bermain bola  di halaman                                                          
ibfa_001_0032adikku sedang belajar  di kamar  sejak sore tadi                                                 
ibfa_001_0033siswa-siswa sedang kerja bakti  membersihkan sekolahan                                           
ibfa_001_0034oleh-oleh dari bibi  sudah dihabiskan kakak                                                      
ibfa_001_0035kakak sudah tiga tahun kuliah  di kota                                                           
ibfa_001_0036di desa nenek udaranya sejuk dan segar                                                           
ibfa_001_0037setiap malam  adik-adikku belajar  di kamarnya                                                   
ibfa_001_0038adik suka berenang dan bermain bola  sejak kecil                                                 
ibfa_001_0039dia jatuh di selokan depan kampus  kemarin                                                       
ibfa_001_0040ikan itu hanya bisa hidup  di air tawar                                                          
ibfa_001_0041rumah kakek  akan di cat hijau muda                                                              
ibfa_001_0042gadis itu sering melamun  di teras rumahnya                                                      
ibfa_001_0043toilet itu  sudah tidak layak pakai lagi                                                         
ibfa_001_0044pilot pesawat itu  tewas  di rumah sakit                                                         
ibfa_001_0045kecelakaan kereta api  itu  terjadi tengah malam                                                 
ibfa_001_0046siswa baru itu  sering terlambat masuk kelas                                                     
ibfa_001_0047warga desa  beramai-ramai  datang ke kantor polisi                                               
ibfa_001_0048pekerjaannya sebagai tukang ojek  sudah lama dia tekuni                                          
ibfa_001_0049kumbang  suka hinggap di bunga mawar merah                                                       
ibfa_001_0050tawon itu menyengat pipinya  hingga dia kesakitan                                                
ibfa_001_0051tanah warisan itu  menjadi rebutan  anggota keluarganya                                          
ibfa_001_0052mereka senang berkunjung ke ruang baca  kampus                                                   
ibfa_001_0053hama wereng  mulai menyerang tanaman padi  di sawah                                              
ibfa_001_0054salju sudah mulai turun  semenjak dua hari lalu                                                  
ibfa_001_0055rapat paripurna  akan dimulai pukul satu siang                                                   
ibfa_001_0056pelangi itu kelihatan indah  di langit biru                                                      
ibfa_001_0057orang itu sering ke sana  mengunjungi ibunya                                                     
ibfa_001_0058lukanya sedang diobati  oleh perawat  di puskesmas                                               
ibfa_001_0059perawat  sedang membantu dokter  merawat pasien jantung itu                                      
ibfa_001_0060kita harus menjaga kebersihan  dan kesehatan badan                                               
ibfa_001_0061tulisan surat itu  tidak terbaca dengan jelas                                                    
ibfa_001_0062pidato itu cukup singkat  namun isinya sangat jelas                                              
ibfa_001_0063air putih  membuat badan menjadi sehat dan segar                                                 
ibfa_001_0064dana penelitian itu  baru cair  minggu depan                                                     
